,rules,spport,confidence,coverage,lift,count
2,{pot} => {plants},0.001016777,0.909090909,0.001118454,59.21131848,10
1,{sparkling} => {wine},0.001016777,0.909090909,0.001118454,41.39309764,10
3,"{,rolls/buns} => {cheese}",0.001118454,1,0.001118454,21.66299559,11
9,"{,spread} => {cheese}",0.001118454,1,0.001118454,21.66299559,11
4,"{vegetables,shopping} => {bags}",0.001118454,1,0.001118454,10.12873326,11
5,"{beverages,shopping} => {bags}",0.001016777,1,0.001016777,10.12873326,10
6,"{food,shopping} => {bags}",0.001016777,1,0.001016777,10.12873326,10
7,"{film/bags,shopping} => {bags}",0.001118454,1,0.001118454,10.12873326,11
8,"{care,shopping} => {bags}",0.001118454,1,0.001118454,10.12873326,11
10,"{bread,shopping} => {bags}",0.001423488,1,0.001423488,10.12873326,14
